Timestamp,Day,LoadNo,CoilID1,CoilID2,CoilID3,CoilID4,CoilID5,CoilID6,CoilID7,CoilID8,CoilID9,CoilID10,CoilID11,SubmissionID
9/22/2025 14:29:27,Tuesday,Load #3,082797.018036C37,082797.018036C17,082797.018036C23,082797.018036C31,082797.018036C33,082798.018050C72,082797.018036C30,082798.018050C73,082789.018038C01,082797.018036C27,082789.018038C07,5f6aae8e
9/22/2025 14:36:29,Tuesday,Load #4,082797.018036C36,082797.018036C38,082789.018038C08,082797.018036C43,082798.018050C64,082798.018050C68,082789.018038C04,082797.018036C41,082798.018050C61,082797.018036C29,082797.018036C21,17a9da39
9/23/2025 7:50:02,Tuesday,Load #1,082798.018050C69,082798.018050C63,082798.018050C27,082798.018050C02,082798.018050C29,082798.018050C25,082798.018050C08,082789.018038C30,082789.018038C32,082789.018038C28,082789.018038C33,46fc2211
9/23/2025 10:27:38,Wednesday,Load #1,082789.018038C09,082797.018036C48,082797.018036C40,082789.018038C05,082789.018038C11,082797.018036C46,082797.018036C44,082797.018036C39,082797.018036C45,082798.018050C21,082798.018050C41,9e46f719
9/23/2025 14:08:18,Tuesday,Load #2,082798.018050C58,082790.018037C56,082797.018036C22,082790.018037C02,082789.018038C73,082798.018050C36,082798.018050C38,082797.018036C42,082797.018036C32,082789.018038C57,082790.018037C31,6a0a4d7d
9/23/2025 14:12:10,Wednesday,Load #3,082798.018050C49,082798.018050C46,082797.018036C56,082798.018050C53,082798.018050C60,082797.018036C49,082797.018036C51,082797.018036C66,082790.018037C04,082789.018038C50,082798.018050C32,db280d9a
9/23/2025 14:17:36,Wednesday,Load #4,082798.018050C44,082798.018050C54,082789.018038C55,082798.018050C59,082789.018038C52,082789.018038C49,082789.018038C48,082789.018038C53,082789.018038C59,082789.018038C46,082790.018037C30,f1ef8945
9/24/2025 11:51:47,Thursday,Load #1,082790.018037C71,082790.018037C11,082797.018036C60,082790.018037C07,082790.018037C16,082798.018050C40,082797.018036C54,082789.018038C62,082790.018037C19,082790.018037C68,082790.018037C58,e705665f
9/24/2025 13:14:30,Thursday,Load #2,082790.018037C55,082790.018037C37,082790.018037C35,082798.018050C57,082798.018050C34,082798.018050C39,082798.018050C45,082798.018050C50,082798.018050C24,082798.018050C22,082798.018050C42,1a9bba8e
9/24/2025 13:18:12,Thursday,Load #3,082790.018037C33,082790.018037C26,082790.018037C21,082790.018037C25,082790.018037C32,082790.018037C34,082790.018037C22,082789.018038C51,082789.018038C47,082798.018050C37,082798.018050C35,6423bd87
9/24/2025 13:21:49,Thursday,Load #4,082790.018037C38,082790.018037C40,082797.018036C63,082790.018037C27,082790.018037C41,082790.018037C39,082789.018038C12,082789.018038C10,082789.018038C06,082790.018037C36,082789.018038C45,ed0f2eef
9/26/2025 13:06:30,Monday,Load #1,082780.018041C15,082780.018041C12,082781.018042C42,082781.018042C44,082781.018042C46,082781.018042C56,082781.018042C58,082781.018042C66,082781.018042C68,082780.018041C17,082780.018041C13,f3893596
9/26/2025 13:12:46,Monday,Load #2,082783.018044C28,082783.018044C33,082781.018042C62,082783.018044C39,082783.018044C18,082783.018044C38,082783.018044C37,082781.018042C70,082781.018042C27,082781.018042C67,082781.018042C69,332f4689
